threshold,tp,tn,fp,fn,precision,recall,f1,fpr,positive_rate
0.8549999999999999,2,4707,1,334,0.6666666666666666,0.005952380952380952,0.011799410029498525,0.00021240441801189465,0.0005947660586835844
0.8599999999999999,1,4707,1,335,0.5,0.002976190476190476,0.005917159763313609,0.00021240441801189465,0.0003965107057890563
0.8649999999999999,1,4708,0,335,1.0,0.002976190476190476,0.005934718100890207,0.0,0.00019825535289452815
0.8699999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8749999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8799999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8849999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8899999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8949999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.8999999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9049999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9099999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9149999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9199999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9249999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9299999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.9349999999999999,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.94,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.945,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
0.95,0,4708,0,336,0.0,0.0,0.0,0.0,0.0
